text,english_browser
"A) English standard improvement
B) Necessary global participation with proper language enhancement
C) Understanding the English Native Speakers ",yes
一一对应、一切、、,no
希望每一个方面的学识都可以提供一个专业的学习方向，入门课程，需要储备的知识，中等，高级等等。,no
　,no
ı dont know,no
ı dont know ı an new student ı have no idea,no
"° Could be giving some examples about the topics, grammar, speaking, writting, readings comprehension
° To solve questions during the course
° ",no
İngilizce ve altında ana dili yazılabilir.,no
可以用字幕,no
ํYou should create more courses to help people improve each specific skills.,yes
añadiendo mas cursos de ingles para mejorar las capacidades ,no
academic English ,yes
According to me in MOOCs web page there should be a translation option for students or that (MOOC) (also should be available in that language which they prefers) who are non-native English speakers.,yes
"According to me, by resolving the common problems of non-native speakers i.e Low Confidence,Fear of committing mistakes,Lack of resources you can help a lot.",yes
According to this courses are amazing. I don't know. ,yes
Accuracy and speed will provide proficiency.,yes
Aceptable,no
Acquire new skills ,yes
Acquiring new skills,yes
active teaching,yes
"Actually I am a non-native English speaker, so I think that transcripts in the native language of students will help us to understand better if we are not in an advanced english level.",no
actually i don't have knowledge about such MOOC courses . Firstly i have to experience these courses then i will give my feedback. ,yes
"Actually I dont know, its the first time im taking the MOOCs",no
Actually I don't take any of your MOOCs yet so after I end up from this course I'll write my notes to prove these MOOCs . Thank you,yes
actually I have no idea till now.,no
Actually I have no suggestion for you right now as I did not participate any course previously. ,yes
actually i`m a newcomer so i don`t know much about the MOOCs,no
Actually these is my first experience with a MOOCs impart in English ,yes
Actually this course is very helpful for me. One thing i can suggest is you can add some extra resources like Presentation and video (more interesting to the people who are taking this course).  ,yes
"Actually this is my first MOOC with you, so I can't figure out how you can improve it if there is something to improve. As a developer I just can say as a advise, it always a good idea stick to open source technologies to play, work, distribute material and so, because their inner freedom, in a brief to massive things always use massive tools.",yes
"actually this is the first time i use MOOCs, so mabey I can answer on this question after while",yes
"Actually, I hardly know the program. I'm excited and I need to learn ",no
"Actually, I have leaned some English video clips from youtube. All of them teach English by using simply English. So that their clips make me understand the language more.",yes
"Actually, I have no experience in MOOCs in english so I cannot give a answer",no
"Actually, I have not finished an only course yet, so, I cannot give you my recommedation. Sorry about that.",no
"Actually, It is the first time I'm taking a MOOCs so my advice might not be successful. ",yes
"Actually, they should have more interactive activities, when you should truly contact a native speaker a have a real discussion.",no
"Actually, you may do video more slowly, to understand better",yes
"actually,i didn't apply to this MOOC",yes
Ad a translate section.,no
add  a translate in thier native language,yes
Add a feature that enable non-native English Speakers to have your content in their language too as much as convinient or possible.,yes
add a lot of courses ,no
Add a Summary of the main content in their owne language or maybe a Glossary with the most importants concepts. ,no
Add a vocabulary for unusual words with synonims,no
add Chinese subtitles if possible,yes
Add different languages subtitle in the videos  ,yes
Add english subtitles to video materials. This will help people like me understand more from it becouse i can easly put words I don't know to the translator. It's hard to write words only hearing them (the biggest problem for me is to write heared words i don't know),no
Add glossary.,no
Add links to free english-learning moocs in front of every course,no
"add lot of listening and speaking courses. Notify students when it's time to learn, students must define their time table.",yes
add more courses about how to learn English.,no
Add more English MOOCs course for non-native English to improve their English.,yes
Add more interaction between students.,no
add more kinds of transcripts in different languages,no
Add more languages,no
Add more languages,no
Add more languages,yes
Add more practical sections,yes
Add more videos.,no
Add other CC so the participant can read and UNDERSTAND what's the meaning of some expressions on their native languages.,yes
Add professors come from around the world to appropriate to he languages of people who learning english,yes
Add several TA who speaks these languages.,no
Add some descriptions or questions in pictures with english words on it or some specific sentences like a proverbs and so on that could be helpful in different situations.,no
add some more courses ,yes
add some subtitles or slow down the speed of speaking,no
Add subtitle,no
add subtitle even in english.,no
Add sub-title local languages,yes
"Add subtitle translation
",no
add subtitle. ,yes
Add subtitles,yes
add subtitles,no
Add subtitles,no
add subtitles ,no
Add subtitles in another language ,no
Add subtitles in diferents languages.,no
Add subtitles in different language.,no
Add subtitles in English and in foreign languages.,no
Add subtitles in English and vocabulary with explaination.,no
Add subtitles in native languages?,yes
Add subtitles in students' native languages to help them understand better and learn English more effectively ,yes
Add subtitles in the videos,no
"Add subtitles to the videos in the course, make course content simpler and easy to understand. Also can add translators",yes
Add subtitles. ,no
add subtitlуs,no
Add text to the videos so we can catch any new word or expression,yes
add the best English courses,yes
add translate ,no
Add translation,yes
add translation text,yes
add visual contest,no
Adding a dictionary section,no
Adding a glosary for technical words. It might be very helpful.,no
"adding a section of vocabulary specific topic, subtitling some videos, giving encouragement with some dedications or words in languages other than English, make more intuitive working environment, that it is not language but of signs and images.",no
adding courses with other languages,yes
Adding English subtitles,yes
Adding explanation of professional terms  will be a great improvement.,no
Adding more activities to push alumnis to share experiences ,yes
Adding more quizzes to test their news skills.,yes
adding online chatting system.,no
Adding subtitles ,no
Adding Subtitles ,yes
Adding subtitles in other languages.,no
"Adding subtitles in the most popular  languages in the world like Spanish, French or Chinese",no
"Adding subtitles or caption in different languages, It could be very helpful",yes
"adding sub-titles, because you can understand better the concepts. ",yes
"Adding Subtitles, easier language, more ilustrative images",no
adding subtittle in every MOOC,yes
adding subtitules in videos,no
Adding sustantive words when it applies.,no
Adding the text of teachers' speaking and some translations about difficult words.,no
"adding videos subtitles, or optional articles in other languages",yes
Adequate tutorials and materials should be given to then.,yes
Advertising the courses in social medias ,no
Advise more useful cases for using English every day.,no
我現在還不清楚,no
提供多种字幕模式。,no
Aesoria in both languages,no
after course doing online interview to see how they devolped  their conversational skills,yes
"After experiencing course, i can comment.................",yes
After finishing the course I can give advise ,yes
"After I take the course, i will give some suggestion.",no
After or during the course you can connect your students via Skype or another technology. ,no
After taking MOOC then I will be able to answer this question. ,yes
"After taking the course, I will answer the question.",yes
"After taking your MOOC, I may able to give my opinion.",yes
after the course . i'm going to answer the questions. ,yes
After this long survey I don't want to put more load on my head.,yes
Agregando ejercicios por correo electronico,no
agregar la opción de poder tomar en parte en ingles y parte en español los cursos de gramática inglesa y conversacion,no
Agregar un traductor ,no
Ain't necessary ,no
algunas traducciones en español o tutorias en vivo para poder practicar,no
Alignment to diversities ,yes
"All courses offered on this platform, are very helpful. You can offer basic english courses for non-native English speakers",no
all god you guys doing great job,yes
All goof,yes
All is good,no
All is good.,no
All is ok,no
all is perfect as it is,yes
All is well,no
all is well,yes
All is well.,no
All it is well ,no
all it''s Ok,no
All lecture should be supported with all native languages. ,no
"All of you are  good Professionals,  and I trust in your experience.  I know you do your best job for us.  Until now, everything it has been very good.",no
All skills of this course are very good,no
all thing is best,yes
All things are perfect.,yes
All was fine,no
All your courses are excellent.,no
allow people to change the language of the website freely,no
Allow them to practice live with native english teachers.,no
"Allow them to practice their English skills by having conversations to Native speakers via Chatrooms, Skype, Letter correspondence etc.",yes
allow them to talk with native speaker for half an hour daily and tell them about  their weaknesses and how to improve them,yes
Allow traduction's tools if students aren't connected (sometimes) online (and can use google translate for example).,no
"Alongwith conversational english, in the same course some basic grammar courses could be merged.",yes
"already  help us 
thanks for every thing",yes
"Also add a ""translation"" button which non native students can use when needed ",yes
"Although I just enrolled myself to MOOCs, but I suggest it should contain the routine language the slangs or proverbs whch a native user uses in his conversation which can a native speaker understand and enjoys the conversation (especially jokes ).",yes
Always add subtitles in English and a vocabulary of technical words.,no
"Always help to have the transcript for videos.Most of the time I can leasen what the say , If I can read, can understand the audio ,and learn new words and expresions",no
"Always is a good idea to get subtitles available in english.

",no
"Always overexpose subtitles to the audio, in order to enhance the coupling of the sound with correspondent visual grammar input.",yes
Always put subtitles (in English) and text transcripts.,no
Always sutitles in English,no
an attractive topic,yes
"An intensive practice of:
Reading
Listening
Writing
",no
"An online open discussion (face to face) platform can be given to the students, so that would be helpful giving them more confidence in making face to face and spontaneous interaction.   ",yes
AN OPCION TO TRANSLATE VERSION,no
An opportunity to speak with native speaker who can rectify mistakes can  help non-native English speaker.,yes
Analyzing this surveys...,yes
anyway,no
aplicando excelentes tecnicas de aprendizaje y adecuandolas a la medida de retencion del alumno,no
apoyándolos con  clases por video conferencia,no
apoyo en el idioma nativo,no
"Applies, to dairy activities because is necesary that the people practive and learn your activities diary in another lenguaje",no
"Apply conversations, dialogs, practices of reading, listening, speaking, and others that help us to improve our English  ",no
apply MOOC in different language,yes
Applying the course with many conversations in English thus improving student learning.,no
Appy strategies very effectively,no
Aprender mas,no
arabic speaking course for english,yes
Arrange courses to learn english from other languages,yes
Arrange online calls where students can talk and have conversations to build fluency in speaking english,yes
as,no
"As far as I know, most of the professors use language that is easy to follow and understand. One of the major factors causing the gap in communication between native and non-native English speakers is the usage of phrases to describe a situation. I do not think professors use that but still it can be helpful to learn and implement.",yes
As far as my observation is concerned non-native speaker can only be taught properly with the help of situations which we face in our daily life if they are taught them first they will be Habitual of speaking and will  realize that they can.. This would be the key which will unlock their skills to learn different language. ,yes
As far I have seen its very impressive.After completing this course I can give feedback.,yes
"As for me, everything is fine",yes
"As I have not yet experienced the course, I could not write about posible changes to do.",no
"As if now, I am not in a position to suggest you ! ",yes
"As I hope,we can increase helping students those are non-native student by doing alot of videos listening tests and conversations.",yes
"As it is for free , and very interactive as well as Edx is providing such a best platform to talk with professors, lecturers, etc....It is very helpful for country like india.
",yes
"As long as I know the subtitles, changes in speaker's velocity and texts are the best way to non-native English speakers learned it. Although class alive could help with conversation and possibly with increase the challenge of taking an English class.",yes
As long as the concepts are clear the MOOCs will help students  who are non-native English speakers,yes
As non-native english speakers we need more practice and resources to improve our skills.,yes
"As non-native English speakes, I think MOOC lessons are good enough. There is script, and discussion group.",no
As of now I am not capable suggesting anything as don't have any knowledge about MOOCs.,yes
As part of the MOOC courses are conducted online lessons at school or university to allow students to communicate,no
As per your MOOC mode may be change my speaking power at a glance and strong vocabulary against same meaning but different words or others database preserve and using words MOOC as like a friends jobs perform.    ,yes
As you do,no
As you do,no
asd,yes
"Ask for personal interesting topics in the begining of the course, and focus on that topics",no
Ask them to post videos of themselves talking about a certain topic as an assignment to improve their public speaking skills.,yes
Ask them to take the basis of English to help them to understand English ,yes
"Ask them to talk more in english . And even ask them chat in english with their friends
",yes
Ask to them to take firts an English course.,no
Ask What is the bigger dificult for each students To learn the English ,no
Asses their English skill before starting the course they have enrolled for and let them do an English course at the appropriate level,yes
"Assign native speaker to each student, involved with their lives, share thoughts and life together.",yes
assistance,no
"At his moment I don't know. Please, ask me when I have finished de MOOC",no
"At the beginning of each section, a list of some uncommon but important words that will appear during the course may be given in advance with their meanings. ",yes
"At the moment I do not have an opinion, but I understand in course courses I will have ideas",no
"At the moment I would not know what the correct answer would be, I think if the courses are very interactive and dynamic it would facilitate learning.",no
at this moment dont have any comment,yes
"At this moment i can help you, not idea about this issue.
I suppose that little conversations in video can help student.",no
"At this moment I don´t have bases to answer this question!, because I don´t know this MOOC!",no
"At this moment, I do not have an answer to respond your question, but when I finish this course I will be able to give you some suggestions.
I would like to tell you that I am from Honduras but at the present, I am living in the United States of America.
The last years I have been learning English and Portuguese by myself.
",yes
At this point I still don't have a formal opinion,no
"At this stage I don't know, I can talk about this, once i completed my mooc",yes
At this time I am in position not to thinks clearly about this.   May be latter I can give a perfect comment on this.,yes
Attractive Course,yes
AUN NO HE RELIZADO EL CURSO Y NO PUEDO DAR NINGUN CRITERIO,no
Auxiliar professors with other native language (for help to person with same native lenguage). ,no
Avec une simple traduction a rajoute pour la 1er fois,no
Avoiding local expressions.,no
Ayuda a crecer y superarse,no
"Ayudándolos para tomar curso para puedan aprender.
y salir adelante con el idioma ingles que es muy importante saberlo",no
Ayudando a crecer y superarse ,no
Ayudando crecer y superarse ,no
ayudandolos a conversar y a poner mas en practica su ingles,no
ayudandolos a mejorar su pronunciacion y a adquirir palabras que se usen a menudo en el idoma ingles,no
b donnation to invest plus,no
"Based on may experience, it has been excelent. No need for change.",no
"Based on my experience with MOOCs, I have taken more than 20 in the past year. All these were taught in English, being a non-native English, an improvement is that it has subtitles in other languages, where are concentrated most students who do not speak English such as Chinese, Spanish or Portuguese. I know that some courses have taken this into account and of students who have previously participated in the course have signed for captioning in your language. Because many people who are interested in enrolling in MOOCs but which is in English and though you have English subtitles, this is still a barrier to learning, so do not enroll in courses. I also think it is important to help these students within the teaching assistants of the courses, there are people who are not native English speakers because they can better target because they know the challenge of taking the course is not in native language.
In my case, it was useful that the courses have English subtitles, taking the course in this language has allowed me to improve my English skills especially listening and writing, which I had to implement the courses.
",no
Basic English instruction.,yes
"Basically education and the process of gaining knowledge should involve inclusion despite what country you're from. The MOOCs should have courses that are the same, same topic, same method but in different languages to accommodate.",yes
"basically like me who are not too much familiar with english language, we have a great trouble of vocabulary, its spelling and pronunciation. we need support of flashcards and books related with the flashcard words.    ",yes
bbbbbbbbb,no
Be a little more patient when we are struggling to form some phrases to communicate our thoughts.,yes
Be able to speak English fluently ,yes
Be interactive ,yes
Be more explicit ,yes
Be more explicit about the courses level. ,no
Be more interactive,no
Be more interactive,yes
Be more interactive and how about introducing some reward system for motivating. for instance you can offer free certificate delivery for top 10 students something like that,yes
Be more interactive: between instructor and students.,no
Be more interesting when delivering the material. Or make less duration (may point to the point),yes
Be more practical ,yes
Be more simple,yes
Be more specific,no
be patience,no
Be patient and give them more time in order to overcome  a diffuclty in learning wlile on course...And of course writing always the subtitles in english under the videos so that everyone can understand exactly without confusing the words because of the pronunciation as well as you do.,no
be patient in order to don't make unhappy to whatever student that doesn't highter skills,no
"be simple and should be in a, understanding way to below average student",yes
Be simple MOOC and have some fun in the course,no
be using pore english,no
"beause students want to learn english but they didnt give the opporunity___
so this type moocs give the opportunity and students so well in english",yes
Because english is The best is The languaje of The world,no
Because I have just enrolled the course I have no idea about this.,yes
Because is a good intrument that is easy to learn english,yes
BECAUSE IT IS A EASY FOR ME TRY TO IMPROVE MY SKILLS IN ENGLISH ,no
because it is my first time taking this course so i have no idea. ,yes
Because it's another way to improve my poor english,no
because it's very important,no
Because most of the teachers are native or live in a country who speaks alot the lenguage. It is really important couse they had improve their language in all the way of their carrer,no
"Because the quaality of automatic translators is still far from being good and finding some TA that have an advanced spanish level, the better solution is to elaborate an entrance test that evaluate the english level, though giving the student, whatever was the result, the decision to enrool or not",no
Because we can better our level english,no
"Because we can practice English in the topic that you are interest in, and meet more vocabulary about the topic you want to learn",no
"Because, The people need practice non native lenguage fecuently for they don't forgeth them",no
"Because, when a person study in a MOOC, can inprove their communicate skills.",no
Become the courses more entertainament,no
Been demanding,no
"Before i answer the question. I want to tell that i'm really proud to take  this MOOC in English. 
I think we need to see how we can go with students who are not non-native english speakers in a easy way method, practice, vocabulary, who's really for beginner in english ! With easy therm ! ",no
Begin and pass this course not like teacher but like student and you will find demands of non native ,no
being  patient,no
Being a better professional and it's necessary for work,no
Being friendly with them and conversing with clear voice ang easy words. ,yes
Being interactive and exploring veryday activities.,no
Being more attractive ,no
being more interactive,no
Being more interactive,yes
Being practical ,yes
Being self paced is a good option so can take time required.,yes
Being simple and didactic,yes
Being so patience and getting conversational spaces.,no
"Bello, ",no
"Besides the específics ob the matter, keeping the language (terms) as co.mon as possible.",no
best teachers,no
best way to improve language skills & to improve career   ,yes
better,yes
Better communication ,yes
Better communication skills,yes
Better Conversations,yes
better course offering,yes
better speaking skills,no
better they help to me,no
better to use visually method and audio so easy to people non native English understand to study ,yes
"Better understand the language, and practice more spoken language, native expressions and native culture in the English language",no
Between programs like this or make new programs with the universities around the world.,no
"bilingual education, 
er, maybe after the teacher narrate one paragraph in English , he or she can interpret it in the local language for the non-native students.",yes
Bilingual site,no
blank,no
"boa noite e a primeira vez que participo de um curso de inglês online espero que consigo atingir as expectativas do curso e tenha aprendizagem pois e muito importante para minha carreira.

atenciosamente

luiz ferreira",no
"Bonus some interesting Games, Entertainment Activities, Short Films,...",yes
boost interaction in the community if possible,yes
brief explain in spanish,no
"Brindando más espacios en inglés básico hasta culminar un nivel más avanzado, sin costos.",no
brindando oportunidades de aprendizaje como hasta hoy.,no
Bring the opportunity to speak by phone or Skype each other to practice.,yes
Bringing examples and ways to use English correctly and completely.,no
"Bringing help when the content be difficult, words, expressions, difficult to find in a dictionary.",no
bringing realia all the time ,no
Bueno ayudandolos a poner tener una buena experiencia y aprendizaje del ingles para asi conocer y aprender de ese idioma.,no
bull shit,yes
Buscar Oportunidades de trabajo y mejorar su idioma,no
Business English,yes
But acquiring new skills.,yes
but now:more exercises.,no
Buy,yes
By  discussion forums.,yes
By  personal trainer offering video tutorials and exercises .and yes it works.,yes
BY  USING SIMPLE SENTENCES,yes
by a lot of practicing and talking with people who speak English very well ,no
By add games.more challenge ,yes
"By adding a feature in which students can find  other students who also belong to the same Country , itself.",yes
by adding descriptions in their native languages or vocabulary for specific words because it is hard to find proper meaning of some words;,no
by adding easy to get words in them..,yes
By adding extra material conversation ,yes
by adding more courses,yes
By adding more english classes for different level,yes
by adding more fields in MOOC that is suitable for non native english speakers ,no
By adding more introductory course from famous universities in English. ,yes
By adding more visual examples of the situations or some scenario.,yes
by adding new  translate language like arabic ,yes
by adding pronouncing features for difficult words.,yes
By adding subtitles of their native language,yes
"By adding subtitles or, suggest them to do an English course.",yes
By adding transcripts in both English and other languages. MOOC can add TRANSLATION tab in navigation bar. ,yes
By adding translations to the original topic,yes
By adopting more interactive courses that enable participants to integrate with each  other,no
by advertising it more,yes
By allowing non-native English speakers to have a conversation with native English Speakers.,yes
by allowing them to practise more.,yes
By allowing them to respond in their own language and grading/assessing them through a language translator tool or an interpreter. Of course this does not apply for this particular course.,yes
by analyzing the difficult parts of the lesson,yes
"By answering more often the questions or other statements they do in the forums (because in some courses, sometimes, the forum is a bit abandoned, and in this case, someone motivated can get dismotivated for not receiving an answer while thaking the course).",yes
by applying best way by which they easily understand English and  they use it.,yes
"by asking and creating activities in English , simple basic English.",yes
By assigning tasks that promote speaking to other native speakers of english.,no
By assuming zero earlier knowledge of English. And start from scratch,yes
by attracting to others non natve speakers ,no
by beginning from the zero and teaching them English in their own language.,yes
by better interaction and education.,yes
By bridging the gap between the English and their native language.,yes
by bringing in more pronunciation practices and vocabulary test ,yes
By bringing MOOC in other languages,yes
By challenging students to practise oral speaking.,no
By changing the language,yes
"By Changing the language of websites, by having a audio and subtitles in other language. By Including the universities of other countries you can get their help to translate script into language of their country. ",yes
by changing the outlook,yes
by chatting with them  ,yes
by closely flow up and providing necessary materials.,yes
By combining English language of the courses with their native language.,yes
By communicate with them,yes
"By communicating in english slowly, i think.",yes
"By communicating with them with their language to get a better understanding of their problems and how to solve them.
",yes
By Communication!,yes
By conducting classes with local experienced teachers.teaching by relating there native language.,yes
By conducting small tests and evaluating the tests by the fellow students.,yes
By conducting tests.,yes
By constantly letting them to take up challenges on vocabulary and comprehension ,yes
by continued survies,yes
by conversation,no
By conversation and talking with a new friend ,yes
By conversation with some one who are good in the language,yes
By conversation with with people talk English ,yes
By conversational recorder,no
by conversing with student using web cam  or some other technology,yes
By courses and lectures,yes
by create a compulsory English speaking environment,yes
By creating a platform that would enable the non-native English speakers to translate English words to their native language and vice-versa.,yes
"By creating a platform, funny, not bored or heavy.  Where students wants to access and practice everyday if they want.",yes
By creating an awareness about speaking English and giving them more excercises.,yes
By creating more videos of English course.,yes
By creating such an en environment which engages a non-native to a native English speaker.,yes
By creative program.,yes
By designing more courses which improve language and communication skills among students,yes
by developing Mobile App. so that they can have  easy access to the program.,yes
"by develping thier skills in speaking,reading and also writing ",yes
by doing a course of English language for people who don't know anything about it . for  beginning  ,yes
"by doing activities in groups, so that those who are non-native english speakers have the opportunity to interact with other in english.",no
By doing English courses ,yes
By doing helping us to improve our English level,yes
By doing more corses like conversation ,yes
by doing more practise with the native english speakers,yes
"by doing more reading ,leasing ,speaking and writing approach ",yes
By doing the online courses and communications . ,yes
by doing your best,no
By email,no
"by e-mails, social networks, online conversations.",no
By enaging them in speaking classes. By including subtitles in the videos. By providing option to slow the speed of speaker/instructors voice/speech.,yes
by encourage them,yes
"By encouraging and motivating non-native English Speaking students even for their single effort and students should also ready to get positive or negative feedback. In so many places I have seen that those who cannot speak or understand English very well,  mostly, they loose a good circle of people who mainly believes that a good intellectual conversation may happen only in English which gives inferior feeling to the person who has the capability but not got such opportunity or interest to learn it in their childhood. In current scenario English is the most important language to get a good job. ",yes
By encouraging everybody no matter their pace of learning,yes
By encouraging them,yes
